Customer ID,Recency,Frequency,Monetory,Cluster,PCA1,PCA2
12346.0,327,1,77183.6,2,0.7774237214248219,2.754359618916606
12347.0,41,7,4310.0,1,1.81527244095437,0.348485473810645
12348.0,77,4,1797.24,2,0.806219033735213,0.1568835611023968
12349.0,20,1,1757.55,2,0.1920457047576219,-0.6949525420227226
12350.0,312,1,334.4,3,-1.8312816070213211,1.048503140132324
12352.0,74,8,2506.04,2,1.5202563576026413,0.49444417098820753
12353.0,205,1,89.0,3,-2.0340579056420256,-0.15295653870897344
12354.0,234,1,1079.4,3,-0.9337042698310769,0.7955588949519503
12355.0,97,1,459.4,0,-0.7850637041333102,-0.499495929289381
12356.0,24,3,2811.43,2,1.041006307178151,-0.21662686857818667
12357.0,183,1,6207.67,2,0.1362906317984591,0.9180318779809453
12358.0,4,2,1168.06,2,0.4292349747161859,-0.7549445418284961
12359.0,10,4,6372.58,2,1.7051710907773643,0.01585204180926195
12360.0,54,3,2662.06,2,0.8899286963969392,-0.003662027653088475
12361.0,289,1,189.9,3,-2.012766435674789,0.7080809718646199
12362.0,31,10,5226.23,1,2.2430463100003406,0.47117290082444907
12363.0,37,2,552.0,0,-0.07509703613167704,-0.7221637585729033
12364.0,42,4,1313.1,2,0.7971766749085211,-0.2019839047294685
12365.0,293,2,641.38,3,-1.0620223913000448,1.2752402552826814
12367.0,213,1,168.9,3,-1.7551613707723,0.09401590970631117
12370.0,53,4,3545.69,2,1.239190788086599,0.17247841784932316
12371.0,31,2,1887.96,2,0.5530220163944426,-0.4085032162079317
12372.0,36,3,1298.04,2,0.6119678431520922,-0.3510711578509004
12373.0,343,1,364.6,3,-1.9173620624253838,1.310295161269614
12374.0,27,1,742.9300000000001,0,-0.2594339640824893,-0.8932652470118793
12375.0,12,2,457.5,0,-0.06356115587538612,-0.9677757359275755
12377.0,317,2,1628.12,3,-0.7044308257190378,1.7306928898655707
12378.0,306,1,4008.62,3,-0.5879751343894734,1.7287155874898599
12379.0,83,2,852.24,0,-0.05267957635690204,-0.24423328645521056
12380.0,23,4,2724.81,2,1.234189887280996,-0.1334838964973193
12381.0,1,5,1845.31,2,1.3010205719559058,-0.33371481157446076
12383.0,10,5,1850.56,2,1.265131761148518,-0.26420394421644516
12384.0,30,2,585.27,0,-0.017408431262845196,-0.7584866458442542
12386.0,193,2,401.9,3,-0.876852381576336,0.37562957987004697
12388.0,17,6,2780.66,2,1.5772208151564078,-0.02265729616827491
12390.0,81,1,549.84,0,-0.6307064714682676,-0.5691147728620104
12391.0,23,1,460.89,0,-0.4769258609709887,-1.0632528139222832
12393.0,40,4,1582.6000000000001,2,0.8970735879543446,-0.16266038935378388
12394.0,154,2,1272.48,2,-0.150138219021007,0.4147559658442984
12395.0,6,12,3018.63,1,2.2301527375714985,0.19463691499200875
12397.0,137,2,2409.9,2,0.23372073242412617,0.4717834966421591
12398.0,47,1,1635.6599999999999,0,0.04492016858550782,-0.5099311646196187
12399.0,3,4,1108.65,2,0.8756908658972233,-0.5490795490318413
12401.0,100,1,84.3,0,-1.6254263433387364,-0.9699174774511419
12402.0,325,1,225.6,3,-2.0777090151788644,1.0329648361151609
12403.0,51,1,427.7,0,-0.629538266726778,-0.8714013010718065
12405.0,150,1,1710.39,0,-0.3598395785377514,0.28913790862494737
12406.0,23,2,3415.3,2,0.8771475961165208,-0.2961723082277272
12407.0,51,5,1708.1200000000001,2,1.055974372121662,0.025248386601487826
12408.0,153,5,2888.55,2,0.8913119178780899,0.9572770775368147
12409.0,66,3,11072.67,2,1.5400637903183738,0.5049060571166843
12410.0,253,2,693.3299999999999,3,-0.8581285341210309,0.9927511329722178
12412.0,76,3,1226.88,2,0.41859843271220837,-0.06231117258852879
12413.0,193,3,758.1,3,-0.3022530325200814,0.6898103886674146
12414.0,189,3,562.41,3,-0.43208862353990396,0.5720517602084054
12415.0,26,21,124914.53,1,4.457287572162422,1.6720895912841214
12417.0,41,9,3649.1,1,1.9379517567804918,0.3997187614019067
12418.0,114,1,668.58,0,-0.6715483268844551,-0.2601690456132817
12420.0,154,1,600.39,0,-0.8899978636638988,0.01364725291758966
12421.0,17,4,807.04,2,0.6619274605020745,-0.535055986622516
12422.0,170,3,803.5600000000001,2,-0.17841099379761657,0.5313135023939776
12423.0,90,8,1859.31,2,1.3074543435758352,0.5292394059419441
12424.0,164,2,1760.96,2,-0.0321209273746852,0.5860693228189069
12425.0,79,1,777.2,0,-0.45273132625761076,-0.48326929718103756
12426.0,196,1,582.73,3,-1.0786232336283046,0.32543275596051274
12427.0,23,3,825.8,2,0.44393923654282236,-0.5824814044433906
12428.0,27,9,7956.46,1,2.378679575219802,0.520929170377364
12429.0,10,4,3750.4,2,1.4448788772446524,-0.13923989213950003
12430.0,45,1,256.4,0,-0.8551993293880653,-1.0664552048067395
12431.0,3,15,6487.45,1,2.8084097908786516,0.48854147580314516
12432.0,44,5,5059.32,2,1.6180239524737305,0.289442821897486
12433.0,11,7,13375.87,1,2.4956364146078296,0.45088944287204596
12434.0,86,2,806.14,0,-0.09238415798568878,-0.23759251724721056
12435.0,81,2,7829.89,2,1.0442438031580399,0.38915626256831864
12436.0,336,1,509.01,3,-1.7248856148883052,1.3542839625750427
12437.0,10,18,4951.41,1,2.804162898661615,0.5398690060263233
12438.0,16,2,2906.85,2,0.8270098056634723,-0.3967422352173542
12441.0,486,1,173.55,4,-2.8728264006971407,2.1852104199672286
12442.0,182,1,172.06,3,-1.617691396153329,-0.13715629452763667
12444.0,1,5,5005.46,2,1.79090004126866,-0.041826117455072614
12445.0,23,1,133.4,0,-1.0831765323454616,-1.4244798664149076
12446.0,59,1,1002.3100000000001,0,-0.24510599927236296,-0.5615466763320202
12447.0,68,1,476.49,0,-0.6470298829360375,-0.7101333331829761
12448.0,46,1,449.45,0,-0.5845215756226003,-0.8950757540258641
12449.0,24,4,4067.29,2,1.4267068095641902,-0.00867562181543724
12450.0,175,2,197.88,3,-1.1489871967736638,0.03169182323268652
12451.0,12,5,9035.52,1,2.0353409542458913,0.21491462867039857
12452.0,18,2,430.57,0,-0.1181424580492761,-0.9397008199494159
12453.0,136,1,707.09,0,-0.7352232519600714,-0.07592173970471955
12454.0,58,1,3528.34,2,0.3767295994648605,-0.2011329549850667
12455.0,75,6,2466.86,2,1.2781695825732518,0.38492302032753667
12456.0,46,3,3181.04,2,1.010505851593691,-0.012612960506317461
12457.0,83,7,2363.23,2,1.3462791032203607,0.4932171501235292
12458.0,73,2,947.4,2,0.04067162630696573,-0.2896053095977741
12461.0,126,2,826.88,0,-0.24562803089399526,0.07507577910923793
12462.0,20,2,1189.59,2,0.37191550124510875,-0.6275069355076871
12463.0,7,4,1344.78,2,0.9538656219857578,-0.46210239762955674
12464.0,12,8,1212.05,2,1.4205841407227202,-0.1911083178729675
12465.0,19,2,742.1899999999999,0,0.14463184198969653,-0.7730305454695913
12468.0,219,2,729.5400000000001,3,-0.6923154962312347,0.7481685376855923
12471.0,12,30,19824.05,1,3.9254871264014217,1.1802290742399666
12472.0,53,7,6572.11,1,1.972710614633268,0.5634861207614964
12473.0,55,5,3938.5499999999997,2,1.4495052912694264,0.30012665324543325
12474.0,4,18,7375.79,1,3.024699221790794,0.6106763608588828
12475.0,55,1,723.38,0,-0.3885043377387791,-0.6873865020831124
12476.0,17,11,6816.42,1,2.5111792198979375,0.48101933795389407
12477.0,24,6,13219.74,1,2.3136999960456555,0.48686075933866896
12478.0,182,1,680.99,3,-0.944225426762752,0.26412017173260266
